Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
1660,Parrot,Senegal,Poicephalus,senegalus,0.0076,25,2020-01-25,0.0000,0,-
980,Partridge,Chukar,Alectoris,chukar,0.0534,176,2024-05-23,0.0039,12,2024-05-09
1021,Peafowl,"Indian ",Pavo,cristatus,1.4093,4649,2024-05-28,0.2274,693,2024-05-23
42,Pelican,"Great White",Pelecanus,onocrotalus,2.3318,7692,2024-06-01,0.4250,1295,2024-05-12
41,Pelican,Pink-backed,Pelecanus,rufescens,0.6775,2235,2024-05-25,0.1864,568,2024-05-25
2,Penguin,African,Spheniscus,demersus,0.3768,1243,2024-05-26,0.1510,460,2024-05-25
987,Penguin,King,Aptenodytes,patagonicus,0.0015,5,2019-11-01,0.0030,9,2020-02-01
983,Penguin,Macaroni,Eudyptes,chrysolophus,0.0000,0,-,0.0003,1,2009-03-02
13203,Penguin,"Nothern Rockhopper",Eudyptes,moseleyi,0.0006,2,2023-01-12,0.0003,1,2023-01-24
14,Petrel,Cape,Daption,capense,0.0009,3,2023-05-27,0.0007,2,2023-08-26
16,Petrel,Great-winged,Pterodroma,macroptera,0.0073,24,2023-05-13,0.0023,7,2022-01-30
984,Petrel,"Northern Giant",Macronectes,halli,0.0264,87,2024-04-06,0.0105,32,2024-04-28
19,Petrel,Soft-plumaged,Pterodroma,mollis,0.0033,11,2024-02-15,0.0020,6,2022-07-15
13,Petrel,"Southern Giant",Macronectes,giganteus,0.0239,79,2024-03-27,0.0098,30,2023-10-28
4137,Petrel,White-chinned,Procellaria,aequinoctialis,0.2692,888,2024-05-17,0.0738,225,2024-05-08
271,Phalarope,Red,Phalaropus,fulicarius,0.0279,92,2023-09-23,0.0112,34,2023-09-27
272,Phalarope,Red-necked,Phalaropus,lobatus,0.1604,529,2024-05-05,0.0292,89,2024-02-11
929,Phalarope,Wilson's,Phalaropus,tricolor,0.0073,24,2020-03-12,0.0016,5,2020-01-12
323,Pigeon,"African Green",Treron,calvus,6.9070,22784,2024-05-27,1.1884,3621,2024-05-28
312,Pigeon,"African Olive",Columba,arquatrix,8.1493,26882,2024-05-30,1.3614,4148,2024-05-27
313,Pigeon,"Eastern Bronze-naped",Columba,delegorguei,0.0582,192,2024-01-19,0.0174,53,2023-12-09
311,Pigeon,Speckled,Columba,guinea,46.2474,152556,2024-06-01,9.1814,27975,2024-05-31
692,Pipit,African,Anthus,cinnamomeus,29.0367,95783,2024-06-01,5.3343,16253,2024-05-31
697,Pipit,"African Rock",Anthus,crenatus,0.9816,3238,2024-05-27,0.1231,375,2024-05-23
695,Pipit,Buffy,Anthus,vaalensis,1.4821,4889,2024-05-21,0.2928,892,2024-03-26
699,Pipit,Bushveld,Anthus,caffer,0.7054,2327,2024-05-26,0.1221,372,2024-05-12
702,Pipit,Golden,Tmetothylacus,tenellus,0.0146,48,2021-12-20,0.0102,31,2021-12-20
3706,Pipit,Kimberley,Anthus,pseudosimilis,0.0218,72,2013-07-10,0.0016,5,2015-03-03
693,Pipit,Long-billed,Anthus,similis,0.1379,455,2024-04-25,0.0450,137,2022-11-25
10876,Pipit,Long-billed,Anthus,similis,0.0003,1,2018-12-31,0.0000,0,-
1059,Pipit,Long-tailed,Anthus,longicaudatus,0.0015,5,2012-07-21,0.0000,0,-
928,Pipit,Mountain,Anthus,hoeschi,0.0330,109,2024-04-13,0.0118,36,2024-05-16
10877,Pipit,Nicholson's,Anthus,nicholsoni,3.0254,9980,2024-05-27,0.3978,1212,2024-05-23
694,Pipit,Plain-backed,Anthus,leucophrys,3.2989,10882,2024-05-29,0.5156,1571,2024-05-30
700,Pipit,Short-tailed,Anthus,brachyurus,0.0491,162,2024-01-10,0.0144,44,2023-12-09
696,Pipit,Striped,Anthus,lineiventris,1.1699,3859,2024-05-28,0.1543,470,2024-05-11
698,Pipit,Tree,Anthus,trivialis,0.0270,89,2024-01-13,0.0049,15,2022-02-20
701,Pipit,Yellow-breasted,Anthus,chloris,0.2077,685,2024-04-27,0.0758,231,2024-02-28
922,Plover,"American Golden",Pluvialis,dominica,0.0358,118,2024-02-24,0.0105,32,2024-01-28
240,Plover,Caspian,Charadrius,asiaticus,0.0706,233,2024-02-17,0.0194,59,2024-02-15
236,Plover,Chestnut-banded,Charadrius,pallidus,0.4917,1622,2024-05-29,0.0591,180,2024-05-18
233,Plover,"Common Ringed",Charadrius,hiaticula,3.3995,11214,2024-05-13,0.6505,1982,2024-04-23
239,Plover,"Greater Sand",Charadrius,leschenaultii,0.1222,403,2024-03-22,0.0158,48,2024-03-22
241,Plover,Grey,Pluvialis,squatarola,2.2588,7451,2024-05-27,0.3692,1125,2024-05-14
237,Plover,Kittlitz's,Charadrius,pecuarius,6.2252,20535,2024-05-29,1.1618,3540,2024-05-26
234,Plover,"Lesser Sand",Charadrius,mongolus,0.0461,152,2024-01-09,0.0069,21,2023-12-15
955,Plover,"Little Ringed",Charadrius,dubius,0.0033,11,2017-09-12,0.0026,8,2019-03-20
1039,Plover,"Pacific Golden",Pluvialis,fulva,0.0158,52,2024-04-13,0.0043,13,2021-01-17
238,Plover,Three-banded,Charadrius,tricollaris,24.1366,79619,2024-06-01,4.0943,12475,2024-05-28
235,Plover,White-fronted,Charadrius,marginatus,4.9365,16284,2024-05-29,0.8454,2576,2024-05-19
1332,Pochard,Red-crested,Netta,rufina,0.0294,97,2023-11-26,0.0026,8,2023-01-15
102,Pochard,Southern,Netta,erythrophthalma,4.3232,14261,2024-05-29,0.7214,2198,2024-06-01
282,Pratincole,Black-winged,Glareola,nordmanni,0.6163,2033,2024-03-30,0.2406,733,2024-05-14
281,Pratincole,Collared,Glareola,pratincola,0.5047,1665,2024-03-23,0.1730,527,2024-03-28
650,Prinia,Black-chested,Prinia,flavicans,17.3008,57070,2024-06-01,2.5373,7731,2024-06-01
14210,Prinia,"Black-chested (Hybrid flavicens/maculosa)",Prinia,flavicans/maculosa,0.0003,1,2018-11-22,0.0000,0,-
