Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2650_3210,438,Tinkerbird,Yellow-rumped,Pogoniulus,bilineatus,37.5,66.7,73.3,46.2,27.3,0.0,14.3,25.0,22.2,26.7,37.9,57.7,63,149,42.3
2650_3210,439,Barbet,Crested,Trachyphonus,vaillantii,0.0,0.0,13.3,7.7,9.1,0.0,14.3,0.0,0.0,13.3,24.1,11.5,17,149,11.4
2650_3210,440,Honeyguide,Greater,Indicator,indicator,0.0,0.0,0.0,0.0,9.1,33.3,0.0,25.0,11.1,40.0,34.5,7.7,22,149,14.8
2650_3210,441,Honeyguide,Scaly-throated,Indicator,variegatus,12.5,11.1,13.3,23.1,0.0,33.3,14.3,25.0,22.2,13.3,17.2,11.5,22,149,14.8
2650_3210,442,Honeyguide,Lesser,Indicator,minor,12.5,11.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,13.3,31.0,19.2,19,149,12.8
2650_3210,443,Honeybird,Brown-backed,Prodotiscus,regulus,0.0,0.0,0.0,0.0,0.0,0.0,14.3,25.0,0.0,6.7,6.9,0.0,5,149,3.4
2650_3210,447,Woodpecker,Golden-tailed,Campethera,abingoni,37.5,55.6,60.0,53.8,63.6,66.7,28.6,100.0,55.6,33.3,62.1,53.8,81,149,54.4
2650_3210,450,Woodpecker,Cardinal,Dendropicos,fuscescens,25.0,22.2,60.0,46.2,45.5,66.7,42.9,75.0,33.3,26.7,41.4,53.8,65,149,43.6
2650_3210,451,Woodpecker,Bearded,Chloropicus,namaquus,0.0,22.2,0.0,15.4,18.2,33.3,14.3,0.0,0.0,13.3,6.9,7.7,14,149,9.4
2650_3210,454,Broadbill,African,Smithornis,capensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,3.8,3,149,2.0
2650_3210,458,Lark,Rufous-naped,Mirafra,africana,25.0,11.1,0.0,7.7,0.0,0.0,0.0,25.0,0.0,0.0,3.4,11.5,9,149,6.0
2650_3210,460,Lark,Sabota,Calendulauda,sabota,25.0,0.0,13.3,0.0,36.4,33.3,14.3,0.0,11.1,13.3,17.2,26.9,25,149,16.8
2650_3210,464,Lark,Dusky,Pinarocorys,nigricans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1,149,0.7
2650_3210,468,Lark,Flappet,Mirafra,rufocinnamomea,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,149,1.3
2650_3210,493,Swallow,Barn,Hirundo,rustica,75.0,55.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,58.6,69.2,56,149,37.6
2650_3210,495,Swallow,White-throated,Hirundo,albigularis,0.0,0.0,0.0,7.7,0.0,33.3,0.0,0.0,11.1,13.3,3.4,0.0,6,149,4.0
2650_3210,496,Swallow,Wire-tailed,Hirundo,smithii,50.0,22.2,13.3,23.1,18.2,33.3,28.6,25.0,0.0,13.3,3.4,15.4,24,149,16.1
2650_3210,499,Swallow,Grey-rumped,Pseudhirundo,griseopyga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1,149,0.7
2650_3210,502,Swallow,"Greater Striped",Cecropis,cucullata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,3.4,0.0,2,149,1.3
2650_3210,503,Swallow,"Lesser Striped",Cecropis,abyssinica,12.5,33.3,13.3,7.7,0.0,0.0,14.3,50.0,22.2,33.3,31.0,42.3,37,149,24.8
2650_3210,506,Martin,Rock,Ptyonoprogne,fuligula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1,149,0.7
2650_3210,507,Martin,"Common House",Delichon,urbicum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1,149,0.7
2650_3210,509,Martin,Brown-throated,Riparia,paludicola,0.0,0.0,0.0,0.0,9.1,0.0,14.3,0.0,0.0,13.3,0.0,0.0,4,149,2.7
2650_3210,511,Saw-wing,"Black (Southern Africa)",Psalidoprocne,"pristoptera holomelas",12.5,55.6,13.3,53.8,54.5,66.7,57.1,25.0,44.4,20.0,37.9,3.8,47,149,31.5
2650_3210,513,Cuckooshrike,Black,Campephaga,flava,12.5,11.1,13.3,7.7,9.1,0.0,14.3,25.0,11.1,13.3,10.3,15.4,18,149,12.1
2650_3210,516,Cuckooshrike,"Grey ",Ceblepyris,caesius,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,149,0.7
2650_3210,517,Drongo,Fork-tailed,Dicrurus,adsimilis,75.0,55.6,26.7,76.9,90.9,100.0,71.4,75.0,66.7,46.7,41.4,69.2,89,149,59.7
2650_3210,518,Drongo,"Common Square-tailed",Dicrurus,ludwigii,75.0,55.6,53.3,53.8,45.5,33.3,42.9,75.0,22.2,73.3,51.7,53.8,80,149,53.7
2650_3210,519,Oriole,"Eurasian Golden",Oriolus,oriolus,0.0,22.2,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,5,149,3.4
2650_3210,521,Oriole,Black-headed,Oriolus,larvatus,25.0,0.0,13.3,38.5,45.5,33.3,28.6,25.0,22.2,13.3,31.0,7.7,33,149,22.1
2650_3210,527,Tit,"Southern Black",Melaniparus,niger,50.0,100.0,73.3,76.9,63.6,66.7,71.4,75.0,55.6,46.7,86.2,57.7,103,149,69.1
2650_3210,530,Tit,"Grey Penduline",Anthoscopus,caroli,25.0,11.1,6.7,30.8,9.1,0.0,0.0,25.0,22.2,6.7,13.8,7.7,19,149,12.8
2650_3210,533,Babbler,Arrow-marked,Turdoides,jardineii,0.0,0.0,6.7,15.4,9.1,0.0,0.0,0.0,0.0,6.7,3.4,15.4,10,149,6.7
2650_3210,545,Bulbul,Dark-capped,Pycnonotus,tricolor,87.5,88.9,66.7,92.3,100.0,66.7,85.7,50.0,100.0,66.7,82.8,76.9,121,149,81.2
2650_3210,546,Brownbul,Terrestrial,Phyllastrephus,terrestris,37.5,33.3,33.3,23.1,54.5,100.0,28.6,25.0,11.1,26.7,24.1,38.5,48,149,32.2
2650_3210,550,Greenbul,Yellow-bellied,Chlorocichla,flaviventris,12.5,55.6,26.7,46.2,54.5,33.3,28.6,50.0,22.2,66.7,65.5,61.5,74,149,49.7
2650_3210,551,Greenbul,Sombre,Andropadus,importunus,100.0,100.0,86.7,84.6,100.0,100.0,85.7,50.0,100.0,80.0,86.2,84.6,131,149,87.9
2650_3210,552,Thrush,Kurrichane,Turdus,libonyana,25.0,22.2,20.0,30.8,9.1,0.0,14.3,25.0,22.2,20.0,27.6,26.9,34,149,22.8
2650_3210,557,Thrush,Groundscraper,Turdus,litsitsirupa,0.0,0.0,0.0,0.0,9.1,0.0,0.0,25.0,0.0,0.0,0.0,3.8,3,149,2.0
2650_3210,576,Stonechat,African,Saxicola,torquatus,0.0,0.0,0.0,0.0,0.0,0.0,14.3,25.0,0.0,0.0,0.0,0.0,2,149,1.3
