Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2445_2000,459,Lark,Fawn-colored,Calendulauda,africanoides,100.0,,0.0,100.0,,,50.0,100.0,60.0,0.0,100.0,,12,18,66.7
2445_2000,460,Lark,Sabota,Calendulauda,sabota,66.7,,0.0,100.0,,,0.0,0.0,40.0,0.0,0.0,,6,18,33.3
2445_2000,474,Lark,Spike-heeled,Chersomanes,albofasciata,0.0,,0.0,0.0,,,0.0,0.0,20.0,0.0,0.0,,1,18,5.6
2445_2000,485,Sparrow-Lark,Grey-backed,Eremopterix,verticalis,66.7,,50.0,0.0,,,50.0,0.0,0.0,0.0,0.0,,4,18,22.2
2445_2000,488,Lark,Red-capped,Calandrella,cinerea,33.3,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,18,5.6
2445_2000,502,Swallow,"Greater Striped",Cecropis,cucullata,0.0,,0.0,0.0,,,0.0,0.0,40.0,0.0,0.0,,2,18,11.1
2445_2000,514,Tit,Ashy,Melaniparus,cinerascens,66.7,,0.0,50.0,,,0.0,0.0,40.0,0.0,0.0,,5,18,27.8
2445_2000,517,Drongo,Fork-tailed,Dicrurus,adsimilis,66.7,,50.0,100.0,,,100.0,100.0,100.0,100.0,100.0,,16,18,88.9
2445_2000,523,Crow,Cape,Corvus,capensis,100.0,,50.0,100.0,,,0.0,0.0,100.0,100.0,100.0,,13,18,72.2
2445_2000,544,Bulbul,"African Red-eyed",Pycnonotus,nigricans,0.0,,0.0,50.0,,,50.0,50.0,40.0,0.0,0.0,,5,18,27.8
2445_2000,568,Wheatear,Capped,Oenanthe,pileata,100.0,,50.0,100.0,,,0.0,0.0,0.0,100.0,0.0,,7,18,38.9
2445_2000,570,Chat,Familiar,Oenanthe,familiaris,66.7,,0.0,100.0,,,100.0,50.0,60.0,0.0,100.0,,11,18,61.1
2445_2000,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,100.0,,100.0,100.0,,,50.0,100.0,40.0,0.0,0.0,,12,18,66.7
2445_2000,586,"Scrub Robin",Kalahari,Cercotrichas,paena,66.7,,0.0,0.0,,,100.0,50.0,80.0,0.0,100.0,,10,18,55.6
2445_2000,600,Eremomela,Yellow-bellied,Eremomela,icteropygialis,0.0,,0.0,0.0,,,0.0,0.0,20.0,0.0,0.0,,1,18,5.6
2445_2000,619,Warbler,Rufous-eared,Malcorus,pectoralis,33.3,,0.0,50.0,,,0.0,0.0,0.0,0.0,0.0,,2,18,11.1
