Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3010_2835,686,Wagtail,Cape,Motacilla,capensis,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,692,Pipit,African,Anthus,cinnamomeus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,703,Longclaw,Cape,Macronyx,capensis,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,707,Fiscal,"Southern ",Lanius,collaris,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,709,Boubou,Southern,Laniarius,ferrugineus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,722,,Bokmakierie,Telophorus,zeylonus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,733,Starling,Common,Sturnus,vulgaris,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,746,Starling,Pied,Lamprotornis,bicolor,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,751,Sunbird,Malachite,Nectarinia,famosa,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,784,Sparrow,House,Passer,domesticus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,786,Sparrow,Cape,Passer,melanurus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,799,Weaver,Cape,Ploceus,capensis,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,803,Weaver,"Southern Masked ",Ploceus,velatus,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,844,,Quailfinch,Ortygospiza,atricollis,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,846,Whydah,Pin-tailed,Vidua,macroura,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,873,Bunting,Cape,Emberiza,capensis,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,1049,Prinia,Drakensberg,Prinia,hypoxantha,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,1172,White-eye,Cape,Zosterops,virens,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,4126,Lark,"Eastern Long-billed",Certhilauda,semitorquata,,,,,,,,,,100.0,,,1,1,100.0
3010_2835,4142,Sparrow,"Southern Grey-headed",Passer,diffusus,,,,,,,,,,100.0,,,1,1,100.0
3010_2840,84,Ibis,"Hadada ",Bostrychia,hagedash,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,106,Vulture,Cape,Gyps,coprotheres,,,,,,100.0,,,,,0.0,,1,2,50.0
3010_2840,152,Buzzard,Jackal,Buteo,rufofuscus,,,,,,100.0,,,,,0.0,,1,2,50.0
3010_2840,214,Crane,"Grey Crowned",Balearica,regulorum,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,311,Pigeon,Speckled,Columba,guinea,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,316,Dove,"Cape Turtle",Streptopelia,capicola,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,390,Mousebird,Speckled,Colius,striatus,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,418,Hoopoe,African,Upupa,africana,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,445,Woodpecker,Ground,Geocolaptes,olivaceus,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,502,Swallow,"Greater Striped",Cecropis,cucullata,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,509,Martin,Brown-throated,Riparia,paludicola,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,517,Drongo,Fork-tailed,Dicrurus,adsimilis,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,523,Crow,Cape,Corvus,capensis,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,545,Bulbul,Dark-capped,Pycnonotus,tricolor,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,570,Chat,Familiar,Oenanthe,familiaris,,,,,,0.0,,,,,100.0,,1,2,50.0
