Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2640_2755,159,Sparrowhawk,Black,Accipiter,melanoleucus,0.0,14.3,100.0,0.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,3,41,7.3
2640_2755,179,Francolin,"Orange River",Scleroptila,gutturalis,0.0,0.0,0.0,0.0,0.0,0.0,,14.3,0.0,50.0,0.0,0.0,2,41,4.9
2640_2755,185,Spurfowl,Swainson's,Pternistis,swainsonii,25.0,42.9,0.0,50.0,60.0,100.0,,42.9,0.0,100.0,50.0,75.0,21,41,51.2
2640_2755,189,Quail,Common,Coturnix,coturnix,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,192,Guineafowl,Helmeted,Numida,meleagris,75.0,71.4,100.0,75.0,100.0,100.0,,100.0,100.0,100.0,75.0,100.0,36,41,87.8
2640_2755,210,Moorhen,Common,Gallinula,chloropus,0.0,14.3,0.0,0.0,40.0,0.0,,0.0,0.0,0.0,25.0,0.0,4,41,9.8
2640_2755,212,Coot,Red-knobbed,Fulica,cristata,25.0,57.1,100.0,0.0,60.0,0.0,,0.0,0.0,50.0,0.0,0.0,10,41,24.4
2640_2755,238,Plover,Three-banded,Charadrius,tricollaris,50.0,14.3,0.0,0.0,20.0,0.0,,14.3,100.0,0.0,50.0,25.0,9,41,22.0
2640_2755,242,Lapwing,Crowned,Vanellus,coronatus,100.0,100.0,100.0,75.0,100.0,100.0,,100.0,100.0,100.0,50.0,100.0,38,41,92.7
2640_2755,245,Lapwing,Blacksmith,Vanellus,armatus,100.0,85.7,100.0,75.0,100.0,100.0,,85.7,100.0,100.0,50.0,100.0,36,41,87.8
2640_2755,247,Lapwing,"African Wattled",Vanellus,senegallus,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,253,Stint,Little,Calidris,minuta,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1,41,2.4
2640_2755,256,,Ruff,Calidris,pugnax,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1,41,2.4
2640_2755,258,Sandpiper,Common,Actitis,hypoleucos,25.0,28.6,100.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,50.0,7,41,17.1
2640_2755,263,Greenshank,Common,Tringa,nebularia,0.0,0.0,100.0,0.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,264,Sandpiper,Wood,Tringa,glareola,0.0,0.0,100.0,0.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,269,Avocet,Pied,Recurvirostra,avosetta,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1,41,2.4
2640_2755,270,Stilt,Black-winged,Himantopus,himantopus,25.0,14.3,0.0,0.0,0.0,0.0,,0.0,100.0,50.0,0.0,0.0,4,41,9.8
2640_2755,275,Thick-knee,Spotted,Burhinus,capensis,25.0,0.0,0.0,0.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,288,Gull,Grey-headed,Chroicocephalus,cirrocephalus,0.0,14.3,0.0,0.0,40.0,0.0,,14.3,0.0,50.0,50.0,0.0,7,41,17.1
