Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3030_1830,760,Sunbird,"Southern Double-collared",Cinnyris,chalybeus,,0.0,,,,,,,100.0,0.0,,,1,3,33.3
3030_1830,786,Sparrow,Cape,Passer,melanurus,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,799,Weaver,Cape,Ploceus,capensis,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,861,Canary,Black-headed,Serinus,alario,,0.0,,,,,,,100.0,0.0,,,1,3,33.3
3030_1830,866,Canary,Yellow,Crithagra,flaviventris,,0.0,,,,,,,100.0,0.0,,,1,3,33.3
3030_1830,871,Bunting,Lark-like,Emberiza,impetuani,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,873,Bunting,Cape,Emberiza,capensis,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,4139,Prinia,Karoo,Prinia,maculosa,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1835,1,Ostrich,Common,Struthio,camelus,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,90,Shelduck,"South African",Tadorna,cana,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,152,Buzzard,Jackal,Buteo,rufofuscus,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,165,Goshawk,"Pale Chanting",Melierax,canorus,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,220,Korhaan,Karoo,Eupodotis,vigorsii,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,238,Plover,Three-banded,Charadrius,tricollaris,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,307,Sandgrouse,Namaqua,Pterocles,namaqua,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,311,Pigeon,Speckled,Columba,guinea,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,316,Dove,"Cape Turtle",Streptopelia,capicola,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,461,Lark,Karoo,Calendulauda,albescens,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,474,Lark,Spike-heeled,Chersomanes,albofasciata,,,100.0,,,,,,,100.0,,,2,2,100.0
3030_1835,485,Sparrow-Lark,Grey-backed,Eremopterix,verticalis,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,506,Martin,Rock,Ptyonoprogne,fuligula,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,522,Crow,Pied,Corvus,albus,,,100.0,,,,,,,100.0,,,2,2,100.0
3030_1835,564,Wheatear,Mountain,Myrmecocichla,monticola,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,566,Chat,Karoo,Emarginata,schlegelii,,,100.0,,,,,,,100.0,,,2,2,100.0
3030_1835,570,Chat,Familiar,Oenanthe,familiaris,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,,100.0,,,,,,,100.0,,,2,2,100.0
3030_1835,626,Eremomela,Karoo,Eremomela,gregalis,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,686,Wagtail,Cape,Motacilla,capensis,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,722,,Bokmakierie,Telophorus,zeylonus,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,764,Sunbird,Dusky,Cinnyris,fuscus,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,784,Sparrow,House,Passer,domesticus,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,786,Sparrow,Cape,Passer,melanurus,,,100.0,,,,,,,100.0,,,2,2,100.0
3030_1835,866,Canary,Yellow,Crithagra,flaviventris,,,100.0,,,,,,,0.0,,,1,2,50.0
3030_1835,871,Bunting,Lark-like,Emberiza,impetuani,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,873,Bunting,Cape,Emberiza,capensis,,,0.0,,,,,,,100.0,,,1,2,50.0
3030_1835,4134,Korhaan,"Southern Black",Afrotis,afra,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,90,Shelduck,"South African",Tadorna,cana,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,133,Eagle,Verreaux's,Aquila,verreauxii,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,139,Eagle,Booted,Hieraaetus,pennatus,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,165,Goshawk,"Pale Chanting",Melierax,canorus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,189,Quail,Common,Coturnix,coturnix,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,238,Plover,Three-banded,Charadrius,tricollaris,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,307,Sandgrouse,Namaqua,Pterocles,namaqua,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,314,Dove,Red-eyed,Streptopelia,semitorquata,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,316,Dove,"Cape Turtle",Streptopelia,capicola,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,317,Dove,Laughing,Spilopelia,senegalensis,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,318,Dove,Namaqua,Oena,capensis,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,385,Swift,Little,Apus,affinis,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,391,Mousebird,White-backed,Colius,colius,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,392,Mousebird,Red-faced,Urocolius,indicus,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,418,Hoopoe,African,Upupa,africana,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,432,Barbet,"Acacia Pied",Tricholaema,leucomelas,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,461,Lark,Karoo,Calendulauda,albescens,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,493,Swallow,Barn,Hirundo,rustica,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,502,Swallow,"Greater Striped",Cecropis,cucullata,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,506,Martin,Rock,Ptyonoprogne,fuligula,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,509,Martin,Brown-throated,Riparia,paludicola,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,522,Crow,Pied,Corvus,albus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,543,Bulbul,Cape,Pycnonotus,capensis,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,566,Chat,Karoo,Emarginata,schlegelii,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,570,Chat,Familiar,Oenanthe,familiaris,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,583,"Scrub Robin",Karoo,Cercotrichas,coryphoeus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,619,Warbler,Rufous-eared,Malcorus,pectoralis,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,621,Crombec,Long-billed,Sylvietta,rufescens,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,626,Eremomela,Karoo,Eremomela,gregalis,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,653,Warbler,Namaqua,Phragmacia,substriata,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,658,Warbler,Chestnut-vented,Curruca,subcoerulea,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,659,Warbler,"Layard's ",Curruca,layardi,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,674,Batis,Pririt,Batis,pririt,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,678,Flycatcher,Fairy,Stenostira,scita,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,686,Wagtail,Cape,Motacilla,capensis,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,692,Pipit,African,Anthus,cinnamomeus,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,707,Fiscal,"Southern ",Lanius,collaris,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,722,,Bokmakierie,Telophorus,zeylonus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,737,Starling,Cape,Lamprotornis,nitens,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,746,Starling,Pied,Lamprotornis,bicolor,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,751,Sunbird,Malachite,Nectarinia,famosa,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,760,Sunbird,"Southern Double-collared",Cinnyris,chalybeus,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,764,Sunbird,Dusky,Cinnyris,fuscus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,786,Sparrow,Cape,Passer,melanurus,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,803,Weaver,"Southern Masked ",Ploceus,velatus,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,843,Waxbill,Common,Estrilda,astrild,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,861,Canary,Black-headed,Serinus,alario,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,865,Canary,White-throated,Crithagra,albogularis,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,866,Canary,Yellow,Crithagra,flaviventris,,,100.0,,,,,,,0.0,,,1,2,50.0
3035_1825,871,Bunting,Lark-like,Emberiza,impetuani,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,873,Bunting,Cape,Emberiza,capensis,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1825,1104,Thrush,Karoo,Turdus,smithi,,,0.0,,,,,,,100.0,,,1,2,50.0
3035_1825,4139,Prinia,Karoo,Prinia,maculosa,,,100.0,,,,,,,100.0,,,2,2,100.0
3035_1830,90,Shelduck,"South African",Tadorna,cana,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,123,Kestrel,Rock,Falco,rupicolus,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,139,Eagle,Booted,Hieraaetus,pennatus,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,152,Buzzard,Jackal,Buteo,rufofuscus,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,218,Bustard,Ludwig's,Neotis,ludwigii,,,100.0,,,,,50.0,,,,,2,3,66.7
3035_1830,238,Plover,Three-banded,Charadrius,tricollaris,,,0.0,,,,,100.0,,,,,2,3,66.7
3035_1830,245,Lapwing,Blacksmith,Vanellus,armatus,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,311,Pigeon,Speckled,Columba,guinea,,,0.0,,,,,50.0,,,,,1,3,33.3
3035_1830,316,Dove,"Cape Turtle",Streptopelia,capicola,,,100.0,,,,,50.0,,,,,2,3,66.7
