Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2435_2615,270,Stilt,Black-winged,Himantopus,himantopus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,275,Thick-knee,Spotted,Burhinus,capensis,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,277,Courser,Temminck's,Cursorius,temminckii,0.0,,0.0,0.0,,,,,0.0,0.0,,25.0,2,19,10.5
2435_2615,310,Sandgrouse,Double-banded,Pterocles,bicinctus,0.0,,100.0,0.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,311,Pigeon,Speckled,Columba,guinea,100.0,,0.0,100.0,,,,,0.0,33.3,,50.0,10,19,52.6
2435_2615,314,Dove,Red-eyed,Streptopelia,semitorquata,75.0,,0.0,0.0,,,,,50.0,33.3,,37.5,8,19,42.1
2435_2615,316,Dove,"Cape Turtle",Streptopelia,capicola,100.0,,100.0,100.0,,,,,100.0,66.7,,87.5,17,19,89.5
2435_2615,317,Dove,Laughing,Spilopelia,senegalensis,50.0,,100.0,0.0,,,,,100.0,66.7,,87.5,14,19,73.7
2435_2615,318,Dove,Namaqua,Oena,capensis,25.0,,100.0,0.0,,,,,0.0,0.0,,50.0,6,19,31.6
2435_2615,339,Go-away-bird,Grey,Crinifer,concolor,75.0,,0.0,0.0,,,,,0.0,66.7,,62.5,10,19,52.6
2435_2615,344,Cuckoo,Black,Cuculus,clamosus,75.0,,0.0,0.0,,,,,0.0,33.3,,50.0,8,19,42.1
2435_2615,346,Cuckoo,"Great Spotted",Clamator,glandarius,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,348,Cuckoo,Jacobin,Clamator,jacobinus,25.0,,0.0,0.0,,,,,0.0,33.3,,37.5,5,19,26.3
2435_2615,351,Cuckoo,Klaas's,Chrysococcyx,klaas,25.0,,0.0,0.0,,,,,0.0,0.0,,25.0,3,19,15.8
2435_2615,352,Cuckoo,Diederik,Chrysococcyx,caprius,75.0,,0.0,0.0,,,,,0.0,33.3,,62.5,9,19,47.4
2435_2615,359,Owl,"Western Barn ",Tyto,alba,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,364,Owl,"Southern White-faced Scops",Ptilopsis,granti,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,378,Swift,Common,Apus,apus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,380,Swift,"African Black",Apus,barbatus,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,383,Swift,White-rumped,Apus,caffer,100.0,,0.0,100.0,,,,,50.0,66.7,,50.0,12,19,63.2
2435_2615,384,Swift,Horus,Apus,horus,0.0,,0.0,100.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,385,Swift,Little,Apus,affinis,100.0,,0.0,0.0,,,,,50.0,66.7,,50.0,11,19,57.9
2435_2615,387,Swift,"African Palm",Cypsiurus,parvus,75.0,,100.0,100.0,,,,,50.0,66.7,,75.0,14,19,73.7
2435_2615,392,Mousebird,Red-faced,Urocolius,indicus,25.0,,0.0,0.0,,,,,0.0,33.3,,75.0,8,19,42.1
2435_2615,399,Kingfisher,Woodland,Halcyon,senegalensis,50.0,,0.0,0.0,,,,,0.0,0.0,,25.0,4,19,21.1
2435_2615,404,Bee-eater,European,Merops,apiaster,25.0,,0.0,0.0,,,,,0.0,0.0,,87.5,8,19,42.1
2435_2615,405,Bee-eater,Blue-cheeked,Merops,persicus,25.0,,0.0,0.0,,,,,0.0,0.0,,37.5,4,19,21.1
2435_2615,407,Bee-eater,"Southern Carmine",Merops,nubicoides,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,410,Bee-eater,Little,Merops,pusillus,25.0,,0.0,100.0,,,,,0.0,0.0,,50.0,6,19,31.6
2435_2615,411,Bee-eater,Swallow-tailed,Merops,hirundineus,0.0,,0.0,0.0,,,,,0.0,0.0,,37.5,3,19,15.8
2435_2615,412,Roller,European,Coracias,garrulus,50.0,,0.0,0.0,,,,,0.0,0.0,,12.5,3,19,15.8
2435_2615,413,Roller,Lilac-breasted,Coracias,caudatus,50.0,,100.0,100.0,,,,,0.0,0.0,,87.5,11,19,57.9
2435_2615,415,Roller,Purple,Coracias,naevius,75.0,,0.0,0.0,,,,,100.0,33.3,,87.5,13,19,68.4
2435_2615,418,Hoopoe,African,Upupa,africana,0.0,,0.0,0.0,,,,,0.0,66.7,,25.0,4,19,21.1
2435_2615,419,"Wood Hoopoe","Green ",Phoeniculus,purpureus,0.0,,0.0,100.0,,,,,50.0,0.0,,12.5,3,19,15.8
2435_2615,421,Scimitarbill,Common,Rhinopomastus,cyanomelas,0.0,,0.0,0.0,,,,,0.0,0.0,,25.0,2,19,10.5
2435_2615,424,Hornbill,"African Grey",Lophoceros,nasutus,25.0,,0.0,100.0,,,,,50.0,66.7,,12.5,6,19,31.6
2435_2615,426,Hornbill,"Southern Yellow-billed",Tockus,leucomelas,0.0,,100.0,100.0,,,,,100.0,100.0,,62.5,12,19,63.2
2435_2615,432,Barbet,"Acacia Pied",Tricholaema,leucomelas,50.0,,0.0,100.0,,,,,0.0,33.3,,50.0,8,19,42.1
2435_2615,439,Barbet,Crested,Trachyphonus,vaillantii,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,451,Woodpecker,Bearded,Chloropicus,namaquus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,457,Lark,Monotonous,Mirafra,passerina,50.0,,0.0,0.0,,,,,0.0,0.0,,37.5,5,19,26.3
2435_2615,458,Lark,Rufous-naped,Mirafra,africana,0.0,,0.0,100.0,,,,,0.0,0.0,,50.0,5,19,26.3
2435_2615,459,Lark,Fawn-colored,Calendulauda,africanoides,0.0,,100.0,100.0,,,,,0.0,0.0,,12.5,3,19,15.8
2435_2615,460,Lark,Sabota,Calendulauda,sabota,75.0,,100.0,0.0,,,,,0.0,33.3,,62.5,10,19,52.6
2435_2615,493,Swallow,Barn,Hirundo,rustica,100.0,,100.0,0.0,,,,,0.0,66.7,,75.0,13,19,68.4
2435_2615,501,Swallow,Red-breasted,Cecropis,semirufa,0.0,,0.0,0.0,,,,,0.0,66.7,,75.0,8,19,42.1
2435_2615,502,Swallow,"Greater Striped",Cecropis,cucullata,25.0,,0.0,0.0,,,,,0.0,33.3,,12.5,3,19,15.8
2435_2615,503,Swallow,"Lesser Striped",Cecropis,abyssinica,100.0,,100.0,0.0,,,,,0.0,66.7,,100.0,15,19,78.9
2435_2615,517,Drongo,Fork-tailed,Dicrurus,adsimilis,50.0,,100.0,100.0,,,,,0.0,33.3,,50.0,9,19,47.4
2435_2615,522,Crow,Pied,Corvus,albus,25.0,,0.0,100.0,,,,,0.0,66.7,,37.5,7,19,36.8
2435_2615,531,Tit,"Cape Penduline",Anthoscopus,minutus,0.0,,100.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,533,Babbler,Arrow-marked,Turdoides,jardineii,0.0,,0.0,0.0,,,,,0.0,33.3,,37.5,4,19,21.1
2435_2615,536,Babbler,"Southern Pied",Turdoides,bicolor,50.0,,100.0,0.0,,,,,100.0,33.3,,75.0,12,19,63.2
2435_2615,557,Thrush,Groundscraper,Turdus,litsitsirupa,0.0,,0.0,0.0,,,,,0.0,33.3,,25.0,3,19,15.8
2435_2615,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,0.0,,100.0,0.0,,,,,0.0,0.0,,37.5,4,19,21.1
2435_2615,586,"Scrub Robin",Kalahari,Cercotrichas,paena,50.0,,0.0,100.0,,,,,0.0,33.3,,62.5,9,19,47.4
2435_2615,588,"Scrub Robin",White-browed,Cercotrichas,leucophrys,0.0,,0.0,0.0,,,,,0.0,0.0,,50.0,4,19,21.1
